2026-09-24T21:04:12Z INFO Logging to /tmp/logs/update_2026-09-24T21-04-12Z.log.
2026-09-24T21:04:12Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-24T21:04:14Z INFO Processing 360 items (56164 already recorded).
2026-09-24T21:08:47Z INFO [129/360] 138835ec-06d9-42b1-90ff-b6fb9d871dcf: does not qualify; 3.2 s; peak memory 402 MiB.
2026-09-24T21:08:47Z INFO [130/360] 13897e72-1cad-4111-ad70-cd24266149cf: does not qualify; 0.5 s; peak memory 402 MiB.
2026-09-24T21:08:48Z INFO [131/360] 138a0511-ca60-4883-9f81-128f0f66e6b9: does not qualify; 0.7 s; peak memory 402 MiB.
2026-09-24T21:08:49Z INFO [132/360] 138bb282-550e-49db-8287-988ed7f12063: does not qualify; 0.6 s; peak memory 402 MiB.
2026-09-24T21:08:49Z INFO [133/360] 138c1012-a87c-43ca-9cb7-682abe03cbd3: does not qualify; 0.6 s; peak memory 402 MiB.
2026-09-24T21:08:50Z INFO [134/360] 138c4cd1-fa13-450d-ad10-1f11cb0d032f: does not qualify; 0.9 s; peak memory 402 MiB.
2026-09-24T21:08:51Z INFO [135/360] 138c992d-aa90-4902-8a3b-d0d3d804addb: does not qualify; 0.5 s; peak memory 402 MiB.
2026-09-24T21:08:56Z INFO [136/360] 138ccd44-45ad-4a65-a5fb-5d22374d28d8: does not qualify; 4.8 s; peak memory 402 MiB.
2026-09-24T21:08:56Z INFO [137/360] 138d9746-4108-490a-87d7-427f0a4f6482: does not qualify; 0.3 s; peak memory 402 MiB.
2026-09-24T21:08:57Z INFO [138/360] 138e8d31-0c71-4193-8d4f-5b434595550d: does not qualify; 1.5 s; peak memory 402 MiB.
2026-09-24T21:08:58Z INFO [139/360] 138eead7-ee04-46a8-a2b6-ef609525e082: does not qualify; 0.6 s; peak memory 402 MiB.
2026-09-24T21:08:59Z INFO [140/360] 138eee0c-7dce-4d73-a767-dbeeed833b45: does not qualify; 0.8 s; peak memory 402 MiB.
2026-09-24T21:08:59Z INFO [141/360] 138f92c5-1295-4206-ab63-57818290a7c5: does not qualify; 0.6 s; peak memory 402 MiB.
2026-09-24T21:09:00Z INFO [142/360] 138fbe5e-ca96-4dc8-9a69-f6703970c626: does not qualify; 0.5 s; peak memory 402 MiB.
2026-09-24T21:09:01Z INFO [143/360] 13913522-0247-4984-b600-a4f44b1db01a: does not qualify; 0.8 s; peak memory 402 MiB.
2026-09-24T21:09:04Z INFO [144/360] 139160a5-0c9c-450f-9291-6befc980445d: does not qualify; 3.1 s; peak memory 402 MiB.
2026-09-24T21:09:07Z INFO [145/360] 1391bc01-1026-4af2-9f75-56eaceb42cd4: does not qualify; 3.3 s; peak memory 402 MiB.
2026-09-24T21:09:08Z INFO [146/360] 13921a4c-f322-4346-a09f-1a197740e8fd: does not qualify; 1.0 s; peak memory 402 MiB.
2026-09-24T21:09:12Z INFO [147/360] 13924934-96d0-45c8-8506-93462fddd916: does not qualify; 3.9 s; peak memory 402 MiB.
2026-09-24T21:09:13Z INFO [148/360] 1392585c-6a55-4ff7-a916-3cd89679a142: does not qualify; 0.7 s; peak memory 402 MiB.
2026-09-24T21:09:13Z INFO [149/360] 1392afff-68e4-4ebe-bb83-56d2914a34b4: does not qualify; 0.7 s; peak memory 402 MiB.
2026-09-24T21:09:14Z INFO [150/360] 1392cdbd-a4f7-4add-a7b0-fb150cc0b713: does not qualify; 0.6 s; peak memory 402 MiB.
2026-09-24T21:09:14Z INFO [150/360] 1392cdbd-a4f7-4add-a7b0-fb150cc0b713: checkpointed 56314 records.
2026-09-24T21:09:15Z INFO [151/360] 1393cec1-7e9c-4053-9896-326bfc8c3c98: does not qualify; 0.8 s; peak memory 402 MiB.
2026-09-24T21:09:17Z INFO [152/360] 1393ee7f-6004-485a-b7e4-0338354c492a: does not qualify; 2.1 s; peak memory 402 MiB.
2026-09-24T21:09:18Z INFO [153/360] 1393f3b7-2f6b-4191-926f-58d8a5511a30: does not qualify; 0.8 s; peak memory 402 MiB.
2026-09-24T21:09:19Z INFO [154/360] 13941732-6226-4349-82a1-1c5006894eb8: does not qualify; 1.8 s; peak memory 402 MiB.
2026-09-24T21:09:20Z INFO [155/360] 13944c30-13f8-4a34-88ba-2bb1bde6690b: does not qualify; 0.6 s; peak memory 402 MiB.
2026-09-24T21:09:21Z INFO [156/360] 139588ac-063e-458b-843d-838d7cbd909c: does not qualify; 0.7 s; peak memory 402 MiB.
2026-09-24T21:09:22Z INFO [157/360] 1395d302-3e94-4a35-960e-b1793586b9e3: does not qualify; 0.8 s; peak memory 402 MiB.
2026-09-24T21:09:28Z INFO [158/360] 139607a1-a253-41c0-ba6f-1874a187baf5: does not qualify; 6.5 s; peak memory 402 MiB.
2026-09-24T21:09:29Z INFO [159/360] 13963262-82ea-4510-ae5c-70c6e41932a9: does not qualify; 1.0 s; peak memory 402 MiB.
2026-09-24T21:09:30Z INFO [160/360] 1396c4a7-fdf3-4a6d-a354-20a8a33385d4: does not qualify; 0.9 s; peak memory 402 MiB.
2026-09-24T21:09:31Z INFO [161/360] 1397711f-0fd0-4059-ae02-92c31fed6ec3: does not qualify; 0.8 s; peak memory 402 MiB.
2026-09-24T21:09:32Z INFO [162/360] 1397990f-bdb7-4264-82cd-4c22bb7b6d83: does not qualify; 1.5 s; peak memory 402 MiB.
2026-09-24T21:09:33Z INFO [163/360] 1397fbb9-5a68-4b5f-8765-844d74869100: does not qualify; 0.5 s; peak memory 402 MiB.
2026-09-24T21:09:33Z INFO [164/360] 139829e7-c4f2-4f77-95a2-660c252f881a: does not qualify; 0.8 s; peak memory 402 MiB.
2026-09-24T21:09:39Z INFO [165/360] 1398c3bc-d106-4a02-a76e-6f67aaf5e7cc: does not qualify; 5.6 s; peak memory 402 MiB.
