2026-09-23T02:58:14Z INFO Logging to /tmp/logs/update_2026-09-23T02-58-14Z.log.
2026-09-23T02:58:14Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-23T02:58:16Z INFO Processing 351 items (54321 already recorded).
2026-09-23T03:08:00Z INFO [162/351] 0fda52b4-917e-4a71-8602-25995f5d3c92: does not qualify; 1.1 s; peak memory 639 MiB.
2026-09-23T03:08:02Z INFO [163/351] 0fda8ad8-0e33-4012-a78d-30cf107f8876: does not qualify; 1.8 s; peak memory 639 MiB.
2026-09-23T03:08:04Z INFO [164/351] 0fdabba0-c0ba-40f5-b61c-f15654baa1ba: does not qualify; 1.5 s; peak memory 639 MiB.
2026-09-23T03:08:05Z INFO [165/351] 0fdace26-68e7-4065-bda6-c5a8eebcc971: does not qualify; 1.9 s; peak memory 639 MiB.
2026-09-23T03:08:08Z INFO [166/351] 0fdc7727-555b-4938-b7d1-fc65da880352: does not qualify; 2.6 s; peak memory 639 MiB.
2026-09-23T03:08:12Z INFO [167/351] 0fdd41b0-ea0a-40af-bc1e-7ed8b3d9f2e5: does not qualify; 3.6 s; peak memory 639 MiB.
2026-09-23T03:08:15Z INFO [168/351] 0fdd80b8-26b9-4cef-bf1e-086eba8bce6e: does not qualify; 3.3 s; peak memory 639 MiB.
2026-09-23T03:08:19Z INFO [169/351] 0fde19e9-5ed1-41b7-95d6-1cae9897ec52: does not qualify; 4.1 s; peak memory 639 MiB.
2026-09-23T03:08:21Z INFO [170/351] 0fdeeff2-aed4-431b-9148-420c224a8a5f: does not qualify; 1.5 s; peak memory 639 MiB.
2026-09-23T03:08:22Z INFO [171/351] 0fdf2f31-5d15-4c0c-9484-b1430d717d54: does not qualify; 1.9 s; peak memory 639 MiB.
