2026-09-21T11:47:45Z INFO Logging to /tmp/logs/update_2026-09-21T11-47-45Z.log.
2026-09-21T11:47:45Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-21T11:47:47Z INFO Processing 367 items (52494 already recorded).
2026-09-21T11:55:01Z INFO [137/367] 0c0873ee-8af0-40af-90c6-913fbcbc1f93: does not qualify; 1.7 s; peak memory 660 MiB.
2026-09-21T11:55:02Z INFO [138/367] 0c08e2b1-efc9-473f-8b05-6131a84a1936: does not qualify; 1.5 s; peak memory 660 MiB.
2026-09-21T11:55:07Z INFO [139/367] 0c09694b-0f96-4e65-aaf1-af1f7f4a3187: does not qualify; 4.9 s; peak memory 660 MiB.
2026-09-21T11:55:09Z INFO [140/367] 0c0a789b-c523-4280-a8fe-93225d9277d7: does not qualify; 1.4 s; peak memory 660 MiB.
2026-09-21T11:55:10Z INFO [141/367] 0c0a837a-849f-4d35-b2d6-f1bc992dbe1d: does not qualify; 1.5 s; peak memory 660 MiB.
2026-09-21T11:55:19Z INFO [142/367] 0c0ad8a8-60c1-4148-a1b3-666f36fc16aa: does not qualify; 8.8 s; peak memory 660 MiB.
2026-09-21T11:55:21Z INFO [143/367] 0c0c20fd-c4ca-43c0-b103-8ba372f3a7d7: does not qualify; 1.9 s; peak memory 660 MiB.
2026-09-21T11:55:24Z INFO [144/367] 0c0c5077-0950-451d-8c9f-448165156bf7: does not qualify; 3.5 s; peak memory 660 MiB.
2026-09-21T11:55:37Z INFO [145/367] 0c0dbb76-efe6-4339-8b1b-c09a84b384c5: does not qualify; 12.3 s; peak memory 660 MiB.
2026-09-21T11:55:38Z INFO [146/367] 0c0dce25-3030-42f5-ae76-81fd98a7b7c5: does not qualify; 1.8 s; peak memory 660 MiB.
2026-09-21T11:55:43Z INFO [147/367] 0c0e0290-843e-44c4-861e-f33a7346f108: does not qualify; 5.0 s; peak memory 660 MiB.
2026-09-21T11:55:46Z INFO [148/367] 0c0e67e4-7f3c-449f-a18e-2b5577a9ff71: does not qualify; 2.3 s; peak memory 660 MiB.
2026-09-21T11:55:47Z INFO [149/367] 0c0e784f-95ac-4835-a11b-937ac1344eb1: does not qualify; 1.2 s; peak memory 660 MiB.
2026-09-21T11:55:49Z INFO [150/367] 0c0ea99d-f66a-41a5-b905-8332196e402f: does not qualify; 2.4 s; peak memory 660 MiB.
2026-09-21T11:55:49Z INFO [150/367] 0c0ea99d-f66a-41a5-b905-8332196e402f: checkpointed 52644 records.
2026-09-21T11:55:51Z INFO [151/367] 0c0f3236-b508-42c9-93dd-6ef403f97a7e: does not qualify; 1.7 s; peak memory 660 MiB.
2026-09-21T11:55:53Z INFO [152/367] 0c0f91f5-7cf7-4e84-be71-35bec34d05a0: does not qualify; 2.0 s; peak memory 660 MiB.
2026-09-21T11:55:58Z INFO [153/367] 0c102576-35cd-40ca-9780-64e6bfc18e6f: does not qualify; 5.0 s; peak memory 660 MiB.
2026-09-21T11:56:00Z INFO [154/367] 0c10ebf2-ee30-4df4-b78e-e2b3fead1ff6: does not qualify; 2.2 s; peak memory 660 MiB.
2026-09-21T11:56:02Z INFO [155/367] 0c115bca-a458-4138-b185-40a39089a2c6: does not qualify; 1.7 s; peak memory 660 MiB.
2026-09-21T11:56:04Z INFO [156/367] 0c122516-de0b-4f6a-b25e-637936b38f1b: does not qualify; 1.4 s; peak memory 660 MiB.
2026-09-21T11:56:06Z INFO [157/367] 0c125d2c-6908-435e-abed-6000af90c265: does not qualify; 2.1 s; peak memory 660 MiB.
2026-09-21T11:56:24Z INFO [158/367] 0c12e027-075f-4baf-b3ea-c1d666f2e83b: does not qualify; 18.0 s; peak memory 660 MiB.
2026-09-21T11:56:27Z INFO [159/367] 0c12fb8d-0a95-4dab-9330-49901190edf9: does not qualify; 2.8 s; peak memory 660 MiB.
2026-09-21T11:56:36Z INFO [160/367] 0c1307af-2500-40e4-b57d-2b121af63801: does not qualify; 9.0 s; peak memory 660 MiB.
2026-09-21T11:56:37Z INFO [161/367] 0c1346ca-c08f-45fb-8c53-6a31863dbb9f: does not qualify; 1.8 s; peak memory 660 MiB.
2026-09-21T11:56:39Z INFO [162/367] 0c135bf5-edec-45aa-b4d2-10c84f441c4f: does not qualify; 1.4 s; peak memory 660 MiB.
2026-09-21T11:56:40Z INFO [163/367] 0c137387-db8e-4ff4-8d0e-f47390dc1b3a: does not qualify; 1.8 s; peak memory 660 MiB.
2026-09-21T11:56:43Z INFO [164/367] 0c15757f-c7d3-4f46-9968-fca05f2d83ff: does not qualify; 2.6 s; peak memory 660 MiB.
2026-09-21T11:56:45Z INFO [165/367] 0c15f4dd-1915-41d0-935a-762313e2361c: does not qualify; 1.8 s; peak memory 660 MiB.
2026-09-21T11:56:47Z INFO [166/367] 0c161373-8c7b-41c1-94ba-149bcac86151: does not qualify; 1.8 s; peak memory 660 MiB.
2026-09-21T11:56:48Z INFO [167/367] 0c165511-5cd7-4ada-b4e3-e7cd704ff6fc: does not qualify; 1.4 s; peak memory 660 MiB.
